# symbol	chr	start	length	strand	hg38	19369
ABCD4	chr14	74285268	17666	-
ABCE1	chr4	145098310	31214	+
ABCF1	chr6	30571441	20081	+
ABCF2	chr7	151211483	15722	-
ABCF3	chr3	184186198	7807	+
ABCG1	chr21	42219139	78105	+
ABCG2	chr4	88090268	68371	-
ABCG4	chr11	119149051	13602	+
ABCG5	chr2	43812471	26368	-
ABCG8	chr2	43838970	44018	+
ABHD1	chr2	27123814	6998	+
ABHD10	chr3	111979025	14343	+
ABHD11	chr7	73736093	2709	-
ABHD12	chr20	25300213	90622	-
ABHD12B	chr14	50872052	32918	+
ABHD13	chr13	108218391	15852	+
ABHD14A	chr3	51975063	6133	+
ABHD14B	chr3	51968514	5535	-
ABHD15	chr17	29560546	6491	-
ABHD16A	chr6	31686954	16370	-
ABHD16B	chr20	63861497	1491	+
ABHD17A	chr19	1876809	8687	-
ABHD17B	chr9	71865151	46042	-
ABHD17C	chr15	80695309	60312	+
ABHD18	chr4	127965405	74548	+
ABHD2	chr15	89088455	113900	+
ABHD3	chr18	21650900	53874	-
ABHD4	chr14	22598299	14664	+
ABHD5	chr3	43690937	31788	+
ABHD6	chr3	58237791	56943	+
ABHD8	chr19	17292130	11295	-
ABI1	chr10	26746595	114363	-
ABI2	chr2	203328393	103776	+
ABI3	chr17	49210706	12519	+
ABI3BP	chr3	100749155	244266	-
ABITRAM	chr9	108934399	6555	+
ABL1	chr9	130835253	52422	+
ABL2	chr1	179099329	130348	-
ABLIM1	chr10	114431111	227164	-
ABLIM2	chr4	7965326	193487	-
ABLIM3	chr5	149141492	119050	+
ABR	chr17	1003518	176463	-
ABRA	chr8	106759482	10762	-
ABRACL	chr6	139028744	14558	+
ABRAXAS1	chr4	83459516	25584	-
ABRAXAS2	chr10	124801818	34849	+
ABT1	chr6	26596952	3787	+
ABTB1	chr3	127672951	7975	+
ABTB2	chr11	34150986	207024	-
ABTB3	chr12	107318433	341209	+
ACAA1	chr3	38122714	14413	-
ACAA2	chr18	49782163	31370	-
ACACA	chr17	37084991	321845	-
ACACB	chr12	109116586	151640	+
ACAD10	chr12	111686052	71047	+
ACAD11	chr3	132558140	101669	-
ACAD8	chr11	134253567	12288	+
ACAD9	chr3	128879619	33495	+
ACADL	chr2	210187922	37525	-
ACADM	chr1	75724708	38971	+
ACADS	chr12	120725825	14183	+
ACADSB	chr10	123009005	49285	+
ACADVL	chr17	7219937	5329	+
ACAN	chr15	88803435	71918	+
ACAP1	chr17	7336528	14949	+
ACAP2	chr3	195274744	168276	-
ACAP3	chr1	1292390	15540	-
ACAT1	chr11	108121566	26037	+
ACAT2	chr6	159762044	17068	+
ACBD3	chr1	226144678	42063	-
ACBD4	chr17	45135686	8490	+
ACBD5	chr10	27195213	45584	-
ACBD6	chr1	180288229	214348	-
ACBD7	chr10	15075474	13302	-
ACCS	chr11	44066269	17968	+
ACCSL	chr11	44047980	11997	+
ACD	chr16	67657511	2749	-
ACE	chr17	63477060	21313	+
ACE2	chrX	15561032	39928	-
ACER1	chr19	6306141	27471	-
ACER2	chr9	19409008	43497	+
ACER3	chr11	76860917	165880	+
ACHE	chr7	100889993	5895	-
ACIN1	chr14	23058563	36573	-
ACKR1	chr1	159204874	1626	+
ACKR2	chr3	42809444	57842	+
ACKR3	chr2	236569824	12530	+
ACKR4	chr3	132597269	5375	+
ACKR5	chr12	56994491	3956	+
ACLY	chr17	41866917	52034	-
ACMSD	chr2	134838615	63419	+
ACO1	chr9	32384642	70127	+
ACO2	chr22	41469116	59858	+
ACOD1	chr13	76948510	10128	+
ACOT1	chr14	73537142	6654	+
ACOT11	chr1	54548227	62102	+
ACOT12	chr5	81329995	64139	-
ACOT13	chr6	24667076	37970	+
ACOT2	chr14	73569212	6443	+
ACOT4	chr14	73591872	3894	+
ACOT6	chr14	73612516	7372	+
ACOT7	chr1	6264271	129496	-
ACOT8	chr20	45841720	15672	-
ACOT9	chrX	23701054	42222	-
ACOX1	chr17	75941506	37660	-
ACOX2	chr3	58505135	32055	-
ACOX3	chr4	8366281	74442	-
ACOXL	chr2	110732572	385976	+
ACP1	chr2	264946	13337	+
ACP2	chr11	47239301	9513	-
ACP3	chr3	132317406	41435	+
ACP4	chr19	50790414	4805	+
ACP5	chr19	11574659	2986	-
ACP6	chr1	147642229	28295	-
ACP7	chr19	39084367	27126	+
ACR	chr22	50738203	7136	+
ACRBP	chr12	6638074	9358	-
ACRV1	chr11	125671521	9326	-
ACSBG1	chr15	78167467	67098	-
ACSBG2	chr19	6135666	57425	+
ACSF2	chr17	50426217	48620	+
ACSF3	chr16	89093851	62382	+
ACSL1	chr4	184755594	70374	-
ACSL3	chr2	222861035	83604	+
ACSL4	chrX	109641334	91923	-
ACSL5	chr10	112374115	54261	+
ACSL6	chr5	131949972	61686	-
ACSM1	chr16	20623234	74446	-
ACSM2A	chr16	20451520	36149	+
ACSM2B	chr16	20536225	40142	-
ACSM3	chr16	20764013	33568	+
ACSM4	chr12	7304071	24648	+
ACSM5	chr16	20409533	31803	+
ACSM6	chr10	95194237	34692	+
ACSS1	chr20	25006236	51903	-
ACSS2	chr20	34876611	51348	+
ACSS3	chr12	81078078	183132	+
ACTA1	chr1	229431244	2850	-
ACTA2	chr10	88935073	17700	-
ACTB	chr7	5527147	3454	-
ACTBL2	chr5	57480017	2794	-
ACTC1	chr15	34790229	5320	-
ACTG1	chr17	81509970	2829	-
ACTG2	chr2	73893007	26858	+
ACTL10	chr20	33666942	1583	+
ACTL6A	chr3	179562925	25482	+
ACTL6B	chr7	100643096	13352	-
ACTL7A	chr9	108862265	1491	+
ACTL7B	chr9	108854587	1399	-
ACTL8	chr1	17755332	71731	+
ACTL9	chr19	8697399	1396	-
ACTMAP	chr19	40740860	9617	-
ACTN1	chr14	68874127	105175	-
ACTN2	chr1	236686498	78133	+
ACTN3	chr11	66546902	16432	+
ACTN4	chr19	38647648	83941	+
ACTR10	chr14	58200148	35488	+
ACTR1A	chr10	102479228	23484	-
ACTR1B	chr2	97655938	8106	-
ACTR2	chr2	65227830	43423	+
ACTR3	chr2	113890088	72508	+
ACTR3B	chr7	152759751	95627	+
ACTR3C	chr7	150247211	76334	-
ACTR5	chr20	38748459	24061	+
ACTR6	chr12	100200814	23610	+
ACTR8	chr3	53867065	15087	-
ACTRT1	chrX	128050961	1442	-
ACTRT2	chr1	3021466	1437	+
ACTRT3	chr3	169766920	2641	-
ACVR1	chr2	157736445	139885	-
ACVR1B	chr12	51951698	45380	+
ACVR1C	chr2	157526766	102098	-
ACVR2A	chr2	147845028	85794	+
ACVR2B	chr3	38453889	39253	+
ACVRL1	chr12	51907503	15858	+
ACY1	chr3	51983534	5663	+
ACY3	chr11	67642554	8176	-
ACYP1	chr14	75053242	10782	-
ACYP2	chr2	54115614	189686	+
ADA	chr20	44619521	32178	-
ADA2	chr22	17178789	40646	-
ADAD1	chr4	122379010	50774	+
ADAD2	chr16	84191156	6010	+
ADAM10	chr15	58588808	160899	-
ADAM11	chr17	44758987	22859	+
ADAM12	chr10	126012390	376087	-
ADAM15	chr1	155051315	11460	+
ADAM17	chr2	9488485	67345	-
ADAM18	chr8	39584567	145498	+
ADAM19	chr5	157477303	98472	-
ADAM2	chr8	39743734	94493	-
ADAM20	chr14	70522357	12647	-
ADAM21	chr14	70452173	7732	+
ADAM22	chr7	87934250	268639	+
ADAM23	chr2	206443531	177596	+
ADAM28	chr8	24294068	64946	+
ADAM29	chr4	174918357	59823	+
ADAM30	chr1	119893532	2983	-
ADAM32	chr8	39107733	177184	+
ADAM33	chr20	3667974	14036	-
ADAM7	chr8	24441025	68540	+
ADAM8	chr10	133262422	14446	-
ADAM9	chr8	38996972	108289	+
ADAMDEC1	chr8	24384284	21729	+
ADAMTS1	chr21	26835754	9655	-
ADAMTS10	chr19	8580239	30476	-
ADAMTS12	chr5	33523534	368456	-
ADAMTS13	chr9	133422366	37020	+
ADAMTS14	chr10	70672505	89936	+
ADAMTS15	chr11	130448644	28001	+
ADAMTS16	chr5	5140329	179975	+
ADAMTS17	chr15	99971436	370539	-
ADAMTS18	chr16	77282127	152907	-
ADAMTS19	chr5	129460297	278386	+
ADAMTS2	chr5	179110852	234609	-
ADAMTS20	chr12	43353865	198338	-
ADAMTS3	chr4	72280968	288253	-
ADAMTS4	chr1	161184301	14753	-
ADAMTS5	chr21	26917921	49167	-
ADAMTS6	chr5	65148737	333183	-
ADAMTS7	chr15	78759205	52259	-
ADAMTS8	chr11	130404922	23687	-
ADAMTS9	chr3	64515653	172347	-
ADAMTSL1	chr9	18474152	436798	+
ADAMTSL2	chr9	133534703	40816	+
ADAMTSL3	chr15	83654122	385720	+
ADAMTSL4	chr1	150549407	11526	+
ADAMTSL5	chr19	1505021	7998	-
ADAP1	chr7	897899	56781	-
ADAP2	chr17	30921944	37378	+
ADAR	chr1	154582056	26130	-
ADARB1	chr21	45074579	151981	+
ADARB2	chr10	1177312	560213	-
ADAT1	chr16	75596867	26414	-
ADAT2	chr6	143422831	27864	-
ADAT3	chr19	1905398	8049	+
ADCK1	chr14	77800108	134906	+
ADCK2	chr7	140672944	22166	+
ADCK5	chr8	144374046	19196	+
ADCY1	chr7	45574367	148749	+
ADCY10	chr1	167809385	104749	-
ADCY2	chr5	7396137	433944	+
ADCY3	chr2	24819168	101069	-
ADCY4	chr14	24318358	16713	-
ADCY5	chr3	123282295	166795	-
ADCY6	chr12	48766193	22896	-
ADCY7	chr16	50266550	51585	+
ADCY8	chr8	130780300	260609	-
ADCY9	chr16	3962652	153790	-
ADCYAP1	chr18	904870	7302	+
ADCYAP1R1	chr7	31052307	59167	+
ADD1	chr4	2843843	86219	+
ADD2	chr2	70656783	111417	-
ADD3	chr10	110007983	127582	+
ADGB	chr6	146598971	216491	+
ADGRA1	chr10	133087923	43752	+
ADGRA2	chr8	37796882	48014	+
ADGRA3	chr4	22387375	128691	-
ADGRB1	chr8	142449648	95359	+
ADGRB2	chr1	31727116	37224	-
ADGRB3	chr6	68635281	754225	+
ADGRD1	chr12	130953906	187563	+
ADGRD2	chr9	124450450	28130	+
ADGRE1	chr19	6887578	52872	+
ADGRE2	chr19	14732391	46169	-
ADGRE3	chr19	14619116	55728	-
ADGRE5	chr19	14381443	27280	+
ADGRF1	chr6	46997707	44625	-
ADGRF3	chr2	26308174	38615	-
ADGRF4	chr6	47698579	23435	+
ADGRF5	chr6	46852521	69417	-
ADGRG1	chr16	57628629	36938	+
ADGRG2	chrX	18989306	133162	-
ADGRG3	chr16	57668305	21073	+
ADGRG4	chrX	136300962	115928	+
ADGRG5	chr16	57542642	34547	+
ADGRG6	chr6	142302006	144255	+
ADGRG7	chr3	100609600	85879	+
ADGRL1	chr19	14147742	58427	-
ADGRL2	chr1	81800933	192999	+
ADGRL3	chr4	61200325	878010	+
ADGRL4	chr1	78889763	116967	-
ADGRV1	chr5	90558796	605641	+
ADH1A	chr4	99276368	14617	-
ADH1B	chr4	99304970	16431	-
ADH1C	chr4	99336496	16250	-
ADH4	chr4	99123657	20640	-
ADH5	chr4	99070977	17811	-
ADH6	chr4	99202638	16608	-
ADH7	chr4	99412262	23080	-
ADHFE1	chr8	66432503	36404	+
ADI1	chr2	3497365	22166	-
ADIG	chr20	38581196	7267	+
ADIPOQ	chr3	186842709	15754	+
ADIPOR1	chr1	202940831	17481	-
ADIPOR2	chr12	1691069	97605	+
ADIRF	chr10	86968481	2434	+
ADISSP	chr20	3753507	14246	-
ADK	chr10	74151220	558070	+
ADM	chr11	10305072	2325	+
ADM2	chr22	50481542	4895	+
ADM5	chr19	49689593	982	+
ADNP	chr20	50888917	42520	-
ADNP2	chr18	80109261	31085	+
ADO	chr10	62804719	3760	+
ADORA1	chr1	203127725	39680	+
ADORA2A	chr22	24427598	14759	+
ADORA2B	chr17	15945129	30617	+
ADORA3	chr1	111499428	4205	-
ADPGK	chr15	72751293	32465	-
ADPRH	chr3	119579491	10454	+
ADPRHL1	chr13	113399610	53878	-
ADPRM	chr17	10697593	13965	+
ADPRS	chr1	36088891	5041	+
ADRA1A	chr8	26768808	98470	-
ADRA1B	chr5	159916481	56531	+
ADRA1D	chr20	4220629	28658	-
ADRA2A	chr10	111077028	3879	+
ADRA2B	chr2	96112875	3696	-
ADRA2C	chr4	3766384	2142	+
ADRB1	chr10	114043865	3039	+
ADRB2	chr5	148826610	2013	+
ADRB3	chr8	37962989	3610	-
ADRM1	chr20	62302996	5866	+
ADSL	chr22	40346499	22868	+
ADSS1	chr14	104724228	23082	+
ADSS2	chr1	244408493	43416	-
ADTRP	chr6	11713522	65281	-
AEBP1	chr7	44104344	10216	+
AEBP2	chr12	19439491	82736	+
AEN	chr15	88621339	10942	+
AFAP1	chr4	7758713	181148	-
AFAP1L1	chr5	149271858	71779	+
AFAP1L2	chr10	114294823	109679	-
AFDN	chr6	167826910	145113	+
AFF1	chr4	86935010	206029	+
AFF2	chrX	148500616	500047	+
AFF3	chr2	99545418	597172	-
AFF4	chr5	132875394	88240	-
AFG1L	chr6	108295053	230948	+
AFG2A	chr4	122923077	396356	+
AFG2B	chr15	45402335	19080	+
AFG3L2	chr18	12328943	48284	-
AFM	chr4	73481744	22257	+
AFMID	chr17	78187361	20341	+
AFP	chr4	73436220	19954	+
AFTPH	chr2	64524327	68678	+
AGA	chr4	177430773	11664	-
AGAP1	chr2	235494042	637751	+
AGAP2	chr12	57725196	13546	-
AGAP3	chr7	151086474	57960	+
AGAP4	chr10	45825593	21907	-
AGAP5	chr10	73674294	23815	-
AGAP6	chr10	49988405	22094	+
AGAP9	chr10	47501853	21785	-
AGBL1	chr15	86079870	836286	+
AGBL2	chr11	47659590	55779	-
AGBL3	chr7	134986507	149271	+
AGBL4	chr1	48532853	1491101	-
AGBL5	chr2	27051667	18951	+
AGER	chr6	32180968	3285	-
AGFG1	chr2	227472155	89062	+
AGFG2	chr7	100539202	29018	+
AGGF1	chr5	77030403	34831	+
AGK	chr7	141551409	103835	+
AGL	chr1	99850360	73660	+
AGMAT	chr1	15571698	13353	-
AGMO	chr7	15200316	361699	-
AGO1	chr1	35883208	47324	+
AGO2	chr8	140520155	115478	-
AGO3	chr1	35931104	141396	+
AGO4	chr1	35808015	49875	+
AGPAT1	chr6	32168211	7873	-
AGPAT2	chr9	136673142	14315	-
AGPAT3	chr21	43865222	122370	+
AGPAT4	chr6	161129966	144095	-
AGPAT5	chr8	6708641	52862	+
AGPS	chr2	177392772	151062	+
AGR2	chr7	16791810	13189	-
AGR3	chr7	16859411	22572	-
AGRN	chr1	1020119	35997	+
AGRP	chr16	67482570	977	-
AGT	chr1	230702522	11600	-
AGTPBP1	chr9	85546538	195416	-
AGTR1	chr3	148697902	45101	+
AGTR2	chrX	116170743	4231	+
AGTRAP	chr1	11736135	14634	+
AGXT	chr2	240868823	11677	+
AGXT2	chr5	34998101	49848	-
AHCTF1	chr1	246839097	92851	-
AHCY	chr20	34280267	23088	-
AHCYL1	chr1	109984764	38978	+
AHCYL2	chr7	129225029	205182	+
AHDC1	chr1	27534244	69900	-
AHI1	chr6	135283531	214209	-
AHNAK	chr11	62515901	30905	-
AHNAK2	chr14	104937252	41122	-
AHR	chr7	17298651	47496	+
AHRR	chr5	321713	116572	+
AHSA1	chr14	77458092	11380	+
AHSG	chr3	186613059	8259	+
AHSP	chr16	31527899	904	+
AICDA	chr12	8602169	10690	-
AIDA	chr1	222668012	44479	-
AIF1	chr6	31615233	1782	+
AIF1L	chr9	131096530	26614	+
AIFM1	chrX	130129361	36480	-
AIFM2	chr10	70112270	20555	-
AIFM3	chr22	20967254	14104	+
AIG1	chr6	143060888	280170	+
AIM2	chr1	159062483	14283	-
AIMP1	chr4	106316549	32907	+
AIMP2	chr7	6009271	14563	+
AIP	chr11	67483025	8078	+
AIPL1	chr17	6423737	11384	-
AIRE	chr21	44285875	12773	+
AIRIM	chr1	37681569	8960	-
AJAP1	chr1	4654608	137926	+
AJM1	chr9	136842477	6324	+
AJUBA	chr14	22971176	11375	-
AK1	chr9	127866485	11190	-
AK2	chr1	33007985	28898	-
AK3	chr9	4709555	31647	-
AK4	chr1	65148202	83943	+
AK5	chr1	77282018	277948	+
AK6	chr5	69350983	18537	-
AK7	chr14	96392127	97300	+
AK8	chr9	132725577	152707	-
AK9	chr6	109492854	198348	-
AKAIN1	chr18	5142910	54347	-
AKAP1	chr17	57085245	36099	+
AKAP10	chr17	19904301	73527	-
AKAP11	chr13	42272151	51110	+
AKAP12	chr6	151239966	118593	+
AKAP13	chr15	85380602	368753	+
AKAP14	chrX	119895892	24824	+
AKAP17A	chrX	1591603	10917	+
AKAP19	chr2	190180862	22622	+
AKAP3	chr12	4615517	33534	-
AKAP4	chrX	50190776	10231	-
AKAP5	chr14	64465498	9005	+
AKAP6	chr14	32329297	508387	+
AKAP7	chr6	131135466	148066	+
AKAP8	chr19	15353384	26403	-
AKAP8L	chr19	15380049	38939	-
AKAP9	chr7	91940861	169812	+
AKIP1	chr11	8911188	8891	+
AKIRIN1	chr1	38991275	14784	+
AKIRIN2	chr6	87674859	27374	-
AKNA	chr9	114334155	53827	-
AKNAD1	chr1	108815900	41194	-
AKR1A1	chr1	45550825	19224	+
AKR1B1	chr7	134442355	16745	-
AKR1B10	chr7	134527566	13846	+
AKR1B15	chr7	134549109	30760	+
AKR1C1	chr10	4963414	19869	+
AKR1C2	chr10	4987774	16083	-
AKR1C3	chr10	5094413	13273	+
AKR1C4	chr10	5196836	22113	+
AKR1C8	chr10	5153919	31231	-
AKR1D1	chr7	138076458	41847	+
AKR1E2	chr10	4826206	21856	+
AKR7A2	chr1	19303964	8180	-
AKR7A3	chr1	19282572	6198	-
AKT1	chr14	104769348	26400	-
AKT1S1	chr19	49869038	8317	-
AKT2	chr19	40230316	55029	-
AKT3	chr1	243499723	350520	-
AKTIP	chr16	53491039	12170	-
ALAD	chr9	113386311	14973	-
ALAS1	chr3	52198159	16168	+
ALAS2	chrX	55009054	21923	-
ALB	chr4	73404286	17196	+
ALCAM	chr3	105366908	209992	+
ALDH16A1	chr19	49453224	17826	+
ALDH18A1	chr10	95605940	50771	-
ALDH1A1	chr9	72900670	52383	-
ALDH1A2	chr15	57953428	112283	-
ALDH1A3	chr15	100879830	36796	+
ALDH1B1	chr9	38392701	5960	+
ALDH1L1	chr3	126103569	77017	-
ALDH1L2	chr12	105019789	64669	-
ALDH2	chr12	111766932	50600	+
ALDH3A1	chr17	19737988	10310	-
ALDH3A2	chr17	19648750	28846	+
ALDH3B1	chr11	68010326	18950	+
ALDH3B2	chr11	67662154	12469	-
ALDH4A1	chr1	18871429	31126	-
ALDH5A1	chr6	24494968	42239	+
ALDH6A1	chr14	74056846	27607	-
ALDH7A1	chr5	126541840	53379	-
ALDH8A1	chr6	134917392	32709	-
ALDH9A1	chr1	165662215	36347	-
ALDOA	chr16	30065759	4655	+
ALDOB	chr9	101420559	15215	-
ALDOC	chr17	28573119	3776	-
ALG1	chr16	5071842	15537	+
ALG10	chr12	34022495	5807	+
ALG10B	chr12	38316773	12948	+
ALG11	chr13	52012397	21203	+
ALG12	chr22	49900228	18210	-
ALG13	chrX	111681169	79480	+
ALG14	chr1	94974404	98547	-
ALG1L2	chr3	130081830	16560	+
ALG2	chr9	99216424	5518	-
ALG3	chr3	184242300	6662	-
ALG5	chr13	36949737	49603	-
ALG6	chr1	63367626	70927	+
ALG8	chr11	78100945	38681	-
ALG9	chr11	111782194	89387	-
ALK	chr2	29192773	728813	-
ALKAL1	chr8	52534036	31394	-
ALKAL2	chr2	279557	8534	-
ALKBH1	chr14	77672403	35620	-
ALKBH2	chr12	109088188	5284	-
ALKBH3	chr11	43880830	39444	+
ALKBH4	chr7	102456237	8626	-
ALKBH5	chr17	18183827	26127	+
ALKBH6	chr19	36009119	5094	-
ALKBH7	chr19	6372793	2457	+
ALKBH8	chr11	107502726	63009	-
ALLC	chr2	3658199	44472	+
ALMS1	chr2	73385835	224081	+
ALOX12	chr17	6996048	14706	+
ALOX12B	chr17	8072635	15081	-
ALOX15	chr17	4630918	10760	-
ALOX15B	chr17	8039058	10076	+
ALOX5	chr10	45374215	71902	+
ALOX5AP	chr13	30735542	28884	+
ALOXE3	chr17	8095899	22615	-
ALPG	chr2	232406843	3871	+
ALPI	chr2	232456152	4601	+
ALPK1	chr4	112297368	145253	+
ALPK2	chr18	58481246	147845	-
ALPK3	chr15	84817355	56124	+
ALPL	chr1	21509422	68988	+
ALPP	chr2	232378750	4139	+
ALS2	chr2	201700266	80667	-
ALS2CL	chr3	46668994	24685	-
ALX1	chr12	85280219	21565	+
ALX3	chr1	110059869	10803	-
ALX4	chr11	44260439	49700	-
ALYREF	chr17	81887834	3752	-
AMACR	chr5	33986164	21886	-
AMBN	chr4	70592255	15033	+
AMBP	chr9	114060126	18174	-
AMBRA1	chr11	46396413	197610	-
AMD1	chr6	110874784	20929	+
AMDHD1	chr12	95943330	25390	+
AMDHD2	chr16	2520370	11047	+
AMELX	chrX	11293412	7349	+
AMELY	chrY	6865917	45835	-
AMER1	chrX	64185116	20592	-
AMER2	chr13	25161678	10610	-
AMER3	chr2	130755539	12595	+
AMFR	chr16	56361451	64094	-
AMH	chr19	2249322	2751	+
AMHR2	chr12	53423854	7818	+
AMIGO1	chr1	109504177	5550	-
AMIGO2	chr12	47076446	3513	-
AMIGO3	chr3	49716828	2856	-
AMMECR1	chrX	110194185	123900	-
AMMECR1L	chr2	127861629	24327	-
AMN	chr14	102922662	8180	+
AMN1	chr12	31671141	57880	-
AMOT	chrX	112774876	65955	-
AMOTL1	chr11	94768355	108393	+
AMOTL2	chr3	134355346	19101	-
AMPD1	chr1	114673097	22449	-
AMPD2	chr1	109619836	12215	+
AMPD3	chr11	10455263	52316	+
AMPH	chr7	38383703	247670	-
AMT	chr3	49416777	5696	-
AMTN	chr4	70518568	14175	+
AMY1A	chr1	103655759	8795	+
AMY1B	chr1	103687414	8796	-
AMY1C	chr1	103749897	8795	+
AMY2A	chr1	103617426	8354	+
AMY2B	chr1	103571588	7946	+
AMZ1	chr7	2688201	31482	+
AMZ2	chr17	68248042	9113	+
ANAPC1	chr2	111767639	116554	-
ANAPC10	chr4	144994575	103621	-
ANAPC11	chr17	81891722	8533	+
ANAPC13	chr3	134477705	8280	-
ANAPC15	chr11	72109586	3109	-
ANAPC16	chr10	72216011	19849	+
ANAPC2	chr9	137174783	13777	-
ANAPC4	chr4	25377262	41236	+
ANAPC5	chr12	121308244	44167	-
ANAPC7	chr12	110372899	30809	-
ANG	chr14	20688763	5420	+
ANGEL1	chr14	76786008	26874	-
ANGEL2	chr1	212992181	23686	-
ANGPT1	chr8	107249481	248437	-
ANGPT2	chr8	6499631	63614	-
ANGPT4	chr20	869899	46435	-
ANGPTL1	chr1	178849534	21543	-
ANGPTL2	chr9	127087347	35288	-
ANGPTL3	chr1	62597519	8794	+
ANGPTL4	chr19	8364154	10216	+
ANGPTL5	chr11	101890673	25849	-
ANGPTL6	chr19	10092337	10341	-
ANGPTL7	chr1	11189354	6627	+
ANGPTL8	chr19	11239618	2325	+
ANHX	chr12	133218311	17566	-
ANK1	chr8	41653224	144398	-
ANK2	chr4	113049652	334084	+
ANK3	chr10	60026297	363578	-
ANKAR	chr2	189674669	71978	+
ANKDD1A	chr15	64911901	46790	+
ANKDD1B	chr5	75611452	60394	+
ANKEF1	chr20	10034986	23317	+
ANKFN1	chr17	56153474	363542	+
ANKFY1	chr17	4163820	100159	-
ANKH	chr5	14704799	166979	-
ANKHD1	chr5	140401832	138017	+
ANKIB1	chr7	92245973	155410	+
ANKK1	chr11	113387778	12638	+
ANKLE1	chr19	17281900	5746	+
ANKLE2	chr12	132725502	36330	-
ANKMY1	chr2	240479421	78567	-
ANKMY2	chr7	16599778	45976	-
ANKRA2	chr5	73552189	13450	-
ANKRD1	chr10	90912095	8992	-
ANKRD10	chr13	110878539	36530	-
ANKRD11	chr16	89267629	222932	-
ANKRD12	chr18	9136780	149205	+
ANKRD13A	chr12	109999429	40334	+
ANKRD13B	chr17	29593131	21630	+
ANKRD13C	chr1	70258998	95724	-
ANKRD13D	chr11	67289302	13182	+
ANKRD16	chr10	5861615	28278	-
ANKRD17	chr4	73073375	185423	-
ANKRD18A	chr9	38571363	49233	-
ANKRD18B	chr9	33524250	48763	+
ANKRD2	chr10	97572778	11106	+
ANKRD20A1	chr9	67858930	43464	+
ANKRD22	chr10	88819895	31949	-
ANKRD23	chr2	96837911	6110	-
ANKRD24	chr19	4182688	42126	+
ANKRD26	chr10	27004115	96379	-
ANKRD27	chr19	32597005	78175	-
ANKRD28	chr3	15667235	130744	-
ANKRD29	chr18	23598925	63986	-
ANKRD30A	chr10	37125597	106970	+
ANKRD30B	chr18	14748171	106496	+
ANKRD30BL	chr2	132147590	14362	-
ANKRD31	chr5	75068296	168582	-
ANKRD33	chr12	51888102	3625	+
ANKRD33B	chr5	10564069	93747	+
ANKRD34A	chr1	145959440	5135	-
ANKRD34B	chr5	80556754	13526	-
ANKRD34C	chr15	79282721	15518	+
ANKRD35	chr1	145866563	19303	-
ANKRD36	chr2	97113152	151369	+
ANKRD36B	chr2	97492662	97215	-
ANKRD36C	chr2	95849547	142277	-
ANKRD37	chr4	185396840	3401	+
ANKRD39	chr2	96847989	10027	-
ANKRD40	chr17	50693197	14717	-
ANKRD40CL	chr17	50761029	6489	-
